Area,Employment percent
City of London,84.8
Barking and Dagenham,64.9
Barnet,75.2
Bexley,75.1
Brent,72.4
Bromley,77.8
Camden,66.9
Croydon,77.4
Ealing,79.5
Enfield,71
Greenwich,73.9
Hackney,80.7
Hammersmith and Fulham,80
Haringey,78.4
Harrow,82.5
Havering,76.1
Hillingdon,74.5
Hounslow,82.2
Islington,85.2
Kensington and Chelsea,67.2
Kingston upon Thames,79
Lambeth,84
Lewisham,86
Merton,81.1
Newham,78.1
Redbridge,81.9
Richmond upon Thames,77.3
Southwark,83.9
Sutton,81.9
Tower Hamlets,67.5
Waltham Forest,86.1
Wandsworth,81.2
Westminster,65
